,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,20,AR,1563128237,86,-54.81,-68.31,41.0,2.66
1,Carauari,2,BR,1563128299,70,-4.88,-66.9,85.47,2.53
2,Cidreira,100,BR,1563128299,74,-30.17,-50.22,58.11,6.89
3,Haines Junction,87,CA,1563128299,56,60.75,-137.51,55.95,6.42
4,Georgetown,40,GY,1563128142,74,6.8,-58.16,87.8,16.11
5,San Ignacio,100,PE,1563128299,99,-5.15,-79.0,59.19,2.15
6,Caiaponia,0,BR,1563128143,24,-16.96,-51.81,87.09,5.23
7,Taloda,88,IN,1563128300,74,21.56,74.21,81.33,20.09
8,Asuncion,20,PY,1563128300,69,-25.3,-57.63,77.0,4.7
9,Khatanga,27,RU,1563128300,62,71.98,102.47,47.49,10.0
10,Nikolskoye,20,RU,1563128300,62,59.7,30.79,59.0,6.71
11,Busselton,22,AU,1563128300,63,-33.64,115.35,53.01,19.28
12,Bluff,50,AU,1563128014,57,-23.58,149.07,43.71,4.79
13,Hermanus,61,ZA,1563128016,82,-34.42,19.24,54.0,1.01
14,Mar del Plata,100,AR,1563128180,59,-46.43,-67.52,45.15,5.66
15,Sao Filipe,75,CV,1563128301,86,14.9,-24.5,74.31,13.18
16,Saint Peter,1,US,1563128301,58,44.32,-93.96,90.0,5.82
17,Avarua,0,CK,1563128301,77,-21.21,-159.78,66.2,2.24
18,Onokhoy,65,RU,1563128302,59,51.92,108.05,64.4,4.47
19,Chokurdakh,100,RU,1563128302,93,70.62,147.9,46.77,9.04
20,Punta Arenas,75,CL,1563128302,93,-53.16,-70.91,39.2,8.05
21,Cape Town,0,ZA,1563128097,76,-33.93,18.42,55.4,6.93
22,Komsomolskiy,96,RU,1563128302,88,67.55,63.78,53.43,9.78
23,Hithadhoo,18,MV,1563128303,75,-0.6,73.08,83.67,9.66
24,New Norfolk,75,AU,1563128303,61,-42.78,147.06,48.2,20.8
25,Atuona,7,PF,1563128303,75,-9.8,-139.03,79.71,16.69
26,Bethel,40,US,1563128015,93,60.79,-161.76,60.8,4.7
27,Grindavik,90,IS,1563128303,100,63.84,-22.43,57.2,13.87
28,Victoria,75,BN,1563128016,88,5.28,115.24,78.8,2.24
29,Broome,75,GB,1563128304,72,52.47,1.45,64.99,8.05
30,Lavrentiya,89,RU,1563128304,75,65.58,-170.99,56.85,3.22
31,Nanortalik,97,GL,1563128304,89,60.14,-45.24,40.11,9.01
32,Rikitea,8,PF,1563128304,85,-23.12,-134.97,74.49,14.23
33,Half Moon Bay,5,US,1563128049,72,37.46,-122.43,80.01,10.29
34,Hong Gai,75,VN,1563128305,84,20.96,107.09,87.8,3.36
35,Hobart,75,AU,1563128305,61,-42.88,147.33,48.2,20.8
36,Clyde River,75,CA,1563128305,93,70.47,-68.59,44.6,16.11
37,Carnot,96,CF,1563128305,97,4.94,15.87,67.29,2.08
38,Porto Murtinho,80,BR,1563128306,33,-21.7,-57.88,88.17,5.08
39,Road Town,40,VG,1563128079,62,18.42,-64.62,87.8,10.29
40,Saskylakh,3,RU,1563128021,66,71.97,114.09,44.61,10.02
41,Mnogovershinnyy,89,RU,1563128306,92,53.94,139.92,52.53,3.94
42,Magadan,52,RU,1563128306,93,59.56,150.8,49.11,5.19
43,Anuchino,99,RU,1563128306,93,43.97,133.06,60.81,1.79
44,Qaanaaq,51,GL,1563128291,60,77.48,-69.36,46.23,12.71
45,Kaitangata,42,NZ,1563128307,75,-46.28,169.85,37.99,3.0
46,Vaini,88,IN,1563128020,88,15.34,74.49,77.91,2.04
47,Cayenne,11,GF,1563128307,66,4.94,-52.33,87.8,10.29
48,Choya,14,RU,1563128307,93,52.01,86.55,59.73,1.54
49,Avera,1,US,1563128307,52,33.19,-82.53,93.2,12.75
50,Galesong,10,ID,1563128308,94,-5.32,119.37,69.8,3.36
51,Iqaluit,20,CA,1563128308,66,63.75,-68.52,51.8,10.29
52,Ancud,75,CL,1563128308,81,-41.87,-73.83,48.2,12.75
53,Bredasdorp,44,ZA,1563128308,87,-34.53,20.04,50.0,8.05
54,Souillac,0,FR,1563128308,30,45.6,-0.6,84.0,13.87
55,Castro,75,CL,1563128309,81,-42.48,-73.76,48.2,12.75
56,Vao,94,EE,1563128019,67,59.1,26.19,55.59,3.69
57,Ivanteyevka,0,RU,1563128309,63,55.97,37.92,62.6,6.71
58,Sinnamary,0,GF,1563128309,75,5.38,-52.96,81.33,12.57
59,Abu Samrah,0,SY,1563128309,47,35.3,37.18,72.87,10.96
60,Mataura,83,NZ,1563128309,83,-46.19,168.86,40.65,8.23
61,Carnarvon,0,ZA,1563128021,20,-30.97,22.13,59.19,9.86
62,Kodiak,40,US,1563128044,17,39.95,-94.76,91.99,5.82
63,Adrar,0,DZ,1563128310,4,27.87,-0.29,116.6,5.82
64,Saldanha,3,PT,1563128046,40,41.42,-6.55,86.01,14.88
65,Lorengau,100,PG,1563128310,82,-2.02,147.27,78.45,8.28
66,Porosozero,98,RU,1563128310,95,62.72,32.71,48.93,4.63
67,Gazli,0,UZ,1563128311,9,40.13,63.45,92.67,11.25
68,Zapolyarnyy,75,RU,1563128311,70,69.43,30.82,48.2,5.82
69,Ambon,0,FR,1563128311,44,47.55,-2.56,79.0,11.41
70,Saint-Philippe,90,CA,1563128311,60,45.36,-73.48,78.8,9.17
